16/03/31 01:01:43 INFO client.RMProxy: Connecting to ResourceManager at ec2-52-36-82-211.us-west-2.compute.amazonaws.com/172.31.6.22:9050
16/03/31 01:01:43 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/31 01:01:43 INFO input.FileInputFormat: Total input paths to process : 1
16/03/31 01:01:44 INFO mapreduce.JobSubmitter: number of splits:798
16/03/31 01:01:44 INFO Configuration.deprecation: mapred.textoutputformat.separator is deprecated. Instead, use mapreduce.output.textoutputformat.separator
16/03/31 01:01:44 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1459379192543_0003
16/03/31 01:01:44 INFO impl.YarnClientImpl: Submitted application application_1459379192543_0003
16/03/31 01:01:44 INFO mapreduce.Job: The url to track the job: http://ec2-52-36-82-211.us-west-2.compute.amazonaws.com:9006/proxy/application_1459379192543_0003/
16/03/31 01:01:44 INFO mapreduce.Job: Running job: job_1459379192543_0003
16/03/31 01:01:52 INFO mapreduce.Job: Job job_1459379192543_0003 running in uber mode : false
16/03/31 01:01:52 INFO mapreduce.Job:  map 0% reduce 0%
16/03/31 01:21:52 INFO mapreduce.Job:  map 64% reduce 3%
16/03/31 01:22:11 INFO mapreduce.Job:  map 65% reduce 3%
16/03/31 01:22:30 INFO mapreduce.Job:  map 66% reduce 3%
16/03/31 01:22:34 INFO mapreduce.Job:  map 66% reduce 4%
16/03/31 01:22:50 INFO mapreduce.Job:  map 67% reduce 4%
16/03/31 01:23:06 INFO mapreduce.Job:  map 68% reduce 4%
16/03/31 01:23:24 INFO mapreduce.Job:  map 69% reduce 4%
16/03/31 01:23:41 INFO mapreduce.Job:  map 70% reduce 4%
16/03/31 01:23:58 INFO mapreduce.Job:  map 71% reduce 4%
16/03/31 01:24:17 INFO mapreduce.Job:  map 72% reduce 4%
16/03/31 01:24:34 INFO mapreduce.Job:  map 73% reduce 4%
16/03/31 01:24:51 INFO mapreduce.Job:  map 74% reduce 4%
16/03/31 01:25:10 INFO mapreduce.Job:  map 75% reduce 4%
16/03/31 01:25:28 INFO mapreduce.Job:  map 76% reduce 4%
16/03/31 01:25:44 INFO mapreduce.Job:  map 77% reduce 4%
16/03/31 01:26:01 INFO mapreduce.Job:  map 78% reduce 4%
16/03/31 01:26:19 INFO mapreduce.Job:  map 79% reduce 4%
16/03/31 01:26:37 INFO mapreduce.Job:  map 80% reduce 4%
16/03/31 01:26:58 INFO mapreduce.Job:  map 81% reduce 4%
16/03/31 01:27:14 INFO mapreduce.Job:  map 81% reduce 5%
16/03/31 01:27:16 INFO mapreduce.Job:  map 82% reduce 5%
16/03/31 01:27:37 INFO mapreduce.Job:  map 83% reduce 5%
16/03/31 01:27:54 INFO mapreduce.Job:  map 84% reduce 5%
16/03/31 01:28:10 INFO mapreduce.Job:  map 85% reduce 5%
16/03/31 01:28:29 INFO mapreduce.Job:  map 86% reduce 5%
16/03/31 01:28:49 INFO mapreduce.Job:  map 87% reduce 5%
16/03/31 01:29:07 INFO mapreduce.Job:  map 88% reduce 5%
16/03/31 01:29:25 INFO mapreduce.Job:  map 89% reduce 5%
16/03/31 01:29:41 INFO mapreduce.Job:  map 90% reduce 5%
16/03/31 01:29:57 INFO mapreduce.Job:  map 91% reduce 5%
16/03/31 01:30:10 INFO mapreduce.Job:  map 92% reduce 5%
16/03/31 01:30:24 INFO mapreduce.Job:  map 93% reduce 5%
16/03/31 01:30:38 INFO mapreduce.Job:  map 94% reduce 5%
16/03/31 01:30:53 INFO mapreduce.Job:  map 95% reduce 5%
16/03/31 01:31:12 INFO mapreduce.Job:  map 96% reduce 5%
16/03/31 01:31:27 INFO mapreduce.Job:  map 97% reduce 5%
16/03/31 01:31:36 INFO mapreduce.Job:  map 97% reduce 6%
16/03/31 01:31:42 INFO mapreduce.Job:  map 98% reduce 6%
16/03/31 01:31:52 INFO mapreduce.Job:  map 99% reduce 6%
16/03/31 01:32:04 INFO mapreduce.Job:  map 100% reduce 6%
16/03/31 01:35:09 INFO mapreduce.Job:  map 100% reduce 7%
16/03/31 01:38:28 INFO mapreduce.Job:  map 100% reduce 8%
16/03/31 01:41:55 INFO mapreduce.Job:  map 100% reduce 9%
16/03/31 01:45:20 INFO mapreduce.Job:  map 100% reduce 10%
16/03/31 01:48:08 INFO mapreduce.Job:  map 100% reduce 11%
16/03/31 01:51:15 INFO mapreduce.Job:  map 100% reduce 12%
16/03/31 01:54:24 INFO mapreduce.Job:  map 100% reduce 13%
16/03/31 01:57:43 INFO mapreduce.Job:  map 100% reduce 14%
16/03/31 02:01:04 INFO mapreduce.Job:  map 100% reduce 15%
16/03/31 02:04:08 INFO mapreduce.Job:  map 100% reduce 16%
16/03/31 02:07:29 INFO mapreduce.Job:  map 100% reduce 17%
16/03/31 02:09:50 INFO mapreduce.Job:  map 100% reduce 18%
16/03/31 02:11:00 INFO mapreduce.Job:  map 100% reduce 19%
16/03/31 02:12:06 INFO mapreduce.Job:  map 100% reduce 20%
16/03/31 02:13:06 INFO mapreduce.Job:  map 100% reduce 21%
16/03/31 02:14:15 INFO mapreduce.Job:  map 100% reduce 22%
16/03/31 02:15:15 INFO mapreduce.Job:  map 100% reduce 23%
16/03/31 02:16:24 INFO mapreduce.Job:  map 100% reduce 24%
16/03/31 02:17:30 INFO mapreduce.Job:  map 100% reduce 25%
16/03/31 02:18:30 INFO mapreduce.Job:  map 100% reduce 26%
16/03/31 02:19:34 INFO mapreduce.Job:  map 100% reduce 27%
16/03/31 02:20:40 INFO mapreduce.Job:  map 100% reduce 28%
16/03/31 02:21:46 INFO mapreduce.Job:  map 100% reduce 29%
16/03/31 02:22:49 INFO mapreduce.Job:  map 100% reduce 30%
16/03/31 02:23:49 INFO mapreduce.Job:  map 100% reduce 31%
16/03/31 02:25:01 INFO mapreduce.Job:  map 100% reduce 32%
16/03/31 02:26:17 INFO mapreduce.Job:  map 100% reduce 33%
16/03/31 02:57:20 INFO mapreduce.Job:  map 100% reduce 34%
16/03/31 02:58:05 INFO mapreduce.Job:  map 100% reduce 35%
16/03/31 02:58:50 INFO mapreduce.Job:  map 100% reduce 36%
16/03/31 02:59:38 INFO mapreduce.Job:  map 100% reduce 37%
16/03/31 03:00:26 INFO mapreduce.Job:  map 100% reduce 38%
16/03/31 03:01:15 INFO mapreduce.Job:  map 100% reduce 39%
16/03/31 03:02:03 INFO mapreduce.Job:  map 100% reduce 40%
16/03/31 03:02:51 INFO mapreduce.Job:  map 100% reduce 41%
16/03/31 03:03:37 INFO mapreduce.Job:  map 100% reduce 42%
16/03/31 03:04:25 INFO mapreduce.Job:  map 100% reduce 43%
16/03/31 03:05:13 INFO mapreduce.Job:  map 100% reduce 44%
16/03/31 03:06:01 INFO mapreduce.Job:  map 100% reduce 45%
16/03/31 03:06:49 INFO mapreduce.Job:  map 100% reduce 46%
16/03/31 03:07:34 INFO mapreduce.Job:  map 100% reduce 47%
16/03/31 03:08:22 INFO mapreduce.Job:  map 100% reduce 48%
16/03/31 03:09:10 INFO mapreduce.Job:  map 100% reduce 49%
16/03/31 03:10:01 INFO mapreduce.Job:  map 100% reduce 50%
16/03/31 03:10:47 INFO mapreduce.Job:  map 100% reduce 51%
16/03/31 03:11:35 INFO mapreduce.Job:  map 100% reduce 52%
16/03/31 03:12:21 INFO mapreduce.Job:  map 100% reduce 53%
16/03/31 03:13:09 INFO mapreduce.Job:  map 100% reduce 54%
